ID,Year of Birth,Age,Gender,Employment Duration,Industry,Occupation,Size of Employer Company,Size of Household,Residency Area,Time Spent Working Remotely Last Quarter of Last Year,Preferred Time Spent Working Remotely Last Quarter of Last Year,Time Spent Working Remotely in 2021,Preferred Time Spent Working Remotely in 2021,Preferred Time Spent Working Remotely in Future,Employer's Policy change on Remote Work,1 day Hybrid last 6 months,Duration of Hybrid,Preferences towards Hybrid,Employer's Policy on Hybrid,Employer's Time Preference on Onsite,Attitude on Employer's Preferences,Liberty to make the Choice on Decision,Liberty to make the Choice on Days,Direct Manager's role,Attitude on Employer's Decision on Remote Work,Attitude on Employer's Encouragement,Attitude on Employer's Preparedness,Attitude of Other Employees ,Ease to get Permission on Remote Work,Ease to Collaborate with Colleagues,Effect of Promotion,Attitude on Taking Breaks,Impact on Employer,Most Supportive Person(s) on Remote Work,Expected Employer's Encouragement Post Covid,Expected Employer's Support Post Covid,Attitude on Choice on Remote Post Covid,Intended Time to Commute Onsite,Intended Time for Work Onsite,Intended Time for Chores Onsite,Intended Time for Personal Life Onsite,Intended Time for Sleep Onsite,Intended Time to Commute Remote,Intended Time for Work Remote,Intended Time for Chores Remote,Intended Time for Personal Life Remote,Intended Time for Sleep Remote,Attitude on pay cut,Agreed percentage on Pay cut,Barrier of Caring Responsibilities,Barrier of Connectivity,Barrier from Organizations Software System,Barrier on Collaboration,Barrier of poor management,Barrier of IT Equipment,Barrier of Feeling Isolated,Barrier of Extra Cost,Barrier of Cyber Security,Barrier of task cannot be done remotely,Barrier about working Space,Barrier on Motivation,Barrier on Management encouragement on Remote,Barrier of my living situation,Barrier of Remote Working Skills,Barrier of Health and Safety,Positivity on Remote Work,Activeness on Remote Work,Attitute towards Team Members,Management role of Participant,Remote Employees under Manager ,Manager's discretion towards Remote ,Opinion on Remote Employee Retention,Opinion on Remote Employee Recruitment,Opinion on Remote Team Work,Opinion on monitoring Remote Team,Opinion on Remote Poor Performers,Opinion on Preparation for Remote Employee Management,Opinion on Preparation for Focus on Work,Opinion on Finding Employees,Manager's Productivity on Remote,Employee's Productivity on Remote
402,1971,50,Male,More than 5 years,Health Care and Social Assistance,Managers - Specialist Managers,More than 200,Couple with dependent children,Metro,100% - I spent all of my time remote working,100% - All of my time,100% - I spent all of my time remote working,100% - All of my time,90%,No,No,,,No,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat Positive,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat disagree,Somewhat Positive,They are about the same,Very likely,Very likely,Very likely,2,11,3,3,5,0.5,9,4.5,4,6,No,,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat improved,Significantly improved,Somewhat improved,Strongly agree,Strongly agree,Strongly agree,Yes,Yes,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,I’m 50% more productive when working remotely (or more),I’m 50% more productive when working remotely (or more)
403,1976,45,Female,More than 5 years,Information Media and Telecommunications,"Managers - Chief Executives, General Managers and Legislators",Between 5 and 19,Couple with dependent children,Metro,90%,100% - All of my time,80%,90%,90%,No,Yes,80%,90%,Yes,90%,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly Positive,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat Positive,They are about the same,Somewhat likely,Somewhat likely,Somewhat likely,1.5,8,2,4.5,8,0,8,2,6,8,Yes,0.05,Stayed about the same,Somewhat improved,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat improved,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat improved,Somewhat agree,Somewhat agree,Neither agree nor disagree,Yes,Yes,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,My productivity is about same when I work remotely,My productivity is about same when I work remotely
405,1978,43,Male,Between 1 and 5 years,Information Media and Telecommunications,"Managers - Chief Executives, General Managers and Legislators",Between 20 and 199,Couple with dependent children,Regional,20%,30%,30%,50% - About half of my time,40%,Yes,Yes,50% - About half of my time,40%,Yes,40%,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly Positive,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly Positive,My direct manger(s),Somewhat likely,Very likely,Very likely,4,8,2,4,6,4,8,2,4,6,Yes,0.2,Somewhat improved,Significantly improved,Significantly improved,Somewhat improved,Significantly improved,Significantly improved,Somewhat improved,Significantly improved,Somewhat improved,Somewhat improved,Significantly improved,Significantly improved,Significantly improved,Significantly improved,Significantly improved,Significantly improved,Strongly agree,Strongly agree,Somewhat agree,Yes,Yes,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,I’m 30% more productive when working remotely,I’m 30% more productive when working remotely
407,1976,45,Female,Between 1 and 5 years,Health Care and Social Assistance,"Managers - Chief Executives, General Managers and Legislators",Between 20 and 199,Couple with no dependent children,Regional,40%,50% - About half of my time,40%,50% - About half of my time,50% - About half of my time,Yes,Yes,20%,50% - About half of my time,Yes,80%,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat Positive,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly disagree,Strongly disagree,Neither positive nor negative,They are about the same,Somewhat unlikely,Somewhat unlikely,Somewhat unlikely,2,11,2,2,7,0.5,11,2.5,3,7,No,,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat improved,Stayed about the same,Somewhat improved,Stayed about the same,Significantly worsened,Stayed about the same,Somewhat worsened,Stayed about the same,Somewhat improved,Somewhat worsened,Stayed about the same,Somewhat improved,Somewhat improved,Somewhat agree,Somewhat agree,Somewhat disagree,Yes,Yes,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,I’m 50% more productive when working remotely (or more),I’m 50% more productive when working remotely (or more)
409,1991,30,Male,Between 1 and 5 years,Information Media and Telecommunications,Managers - Specialist Managers,Between 20 and 199,Couple with no dependent children,Metro,90%,90%,90%,100% - All of my time,70%,Yes,No,,,Yes,40%,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat Negative,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat Positive,My direct manger(s),Somewhat unlikely,Somewhat likely,Somewhat unlikely,3,8,2,3,8,,10,3,3,8,No,,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat worsened,Somewhat worsened,Stayed about the same,Significantly worsened,Not a barrier for me,Stayed about the same,Not a barrier for me,Somewhat improved,Somewhat worsened,Not a barrier for me,Stayed about the same,Not a barrier for me,Stayed about the same,Somewhat agree,Somewhat agree,Somewhat agree,Yes,Yes,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,I’m 20% more productive when working remotely,I’m 20% more productive when working remotely
410,1998,23,Female,Between 1 and 5 years,Construction,"Managers - Chief Executives, General Managers and Legislators",Between 20 and 199,Couple with dependent children,Regional,70%,90%,30%,30%,20%,Yes,Yes,40%,40%,Yes,50% - About half of my time,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat Positive,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat Positive,They are about the same,Very unlikely,Neither unlikely or likely,Somewhat unlikely,2.5,9,2,2.5,8,1,10,3,2,8,No,,Not a barrier for me,Not a barrier for me,Somewhat improved,Not a barrier for me,Somewhat improved,Significantly improved,Somewhat worsened,Somewhat worsened,Stayed about the same,Not a barrier for me,Somewhat improved,Somewhat improved,Somewhat improved,Stayed about the same,Stayed about the same,Somewhat improved,Strongly agree,Somewhat agree,Somewhat agree,Yes,Yes,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,I’m 30% more productive when working remotely,I’m 30% more productive when working remotely
411,1980,41,Male,More than 5 years,"Professional, Scientific and Technical",Managers - Specialist Managers,Between 20 and 199,Couple with no dependent children,Metro,100% - I spent all of my time remote working,100% - All of my time,Rarely or never,40%,40%,Yes,Yes,60%,80%,No,,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat Positive,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Somewhat Positive,They are about the same,Neither unlikely or likely,Neither unlikely or likely,Somewhat likely,1,8,3,4,8,0,8,4,4,8,No,,Stayed about the same,Somewhat improved,Somewhat improved,Stayed about the same,Stayed about the same,Somewhat improved,Stayed about the same,Somewhat improved,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat improved,Stayed about the same,Somewhat improved,Stayed about the same,Somewhat improved,Strongly agree,Strongly agree,Neither agree nor disagree,Yes,Yes,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,I’m 20% more productive when working remotely,I’m 20% more productive when working remotely
413,1982,39,Female,More than 5 years,"Transport, Postal and Warehousing",Managers - Specialist Managers,More than 200,Couple with dependent children,Metro,Less than 10% of my time,Less than 10% of my time,Less than 10% of my time,30%,30%,No,Yes,Less than 10% of my time,Less than 10% of my time,Yes,90%,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly Positive,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly Positive,They are about the same,Very likely,Very likely,Very likely,2,9,3,3,7,2,9,3,3,7,No,,Stayed about the same,Stayed about the same,Stayed about the same,Significantly improved,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat improved,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat improved,Somewhat improved,Somewhat improved,Stayed about the same,Strongly agree,Strongly agree,Strongly agree,Yes,No,,,,,,,,,,I’m 50% more productive when working remotely (or more),I’m 50% more productive when working remotely (or more)
414,1990,31,Male,Between 1 and 5 years,"Professional, Scientific and Technical",Managers - Specialist Managers,Between 20 and 199,Couple with no dependent children,Metro,30%,30%,50% - I spent about half of my time remote working,30%,30%,Yes,Yes,40%,30%,Yes,30%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither positive nor negative,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither positive nor negative,Senior leadership,Neither unlikely or likely,Neither unlikely or likely,Neither unlikely or likely,2,8,1,3,10,3,8,2,3,8,Yes,0.01,Significantly worsened,Significantly worsened,Somewhat worsened,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat worsened,Somewhat worsened,Stayed about the same,Somewhat worsened,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat worsened,Stayed about the same,Stayed about the same,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Yes,Yes,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% more productive when working remotely,I’m 10% more productive when working remotely
418,1972,49,Male,Between 1 and 5 years,"Transport, Postal and Warehousing","Professionals - Business, Human Resource and Marketing Professionals",Between 20 and 199,Couple with dependent children,Regional,Rarely or never,Less than 10% of my time,Rarely or never,Less than 10% of my time,10%,No,No,,,Yes,100% - All of my time,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly agree,Neither positive nor negative,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly agree,Strongly agree,Strongly Negative,They are about the same,Very unlikely,Very unlikely,Very unlikely,2,11,1,3,7,0,12,1,3,8,No,,Not a barrier for me,Significantly worsened,Significantly worsened,Significantly worsened,Significantly worsened,Significantly worsened,Significantly worsened,Significantly worsened,Significantly worsened,Significantly worsened,Significantly worsened,Significantly worsened,Significantly worsened,Significantly worsened,Significantly worsened,Significantly worsened,Somewhat disagree,Strongly disagree,Strongly agree,Yes,No,,,,,,,,,,I’m 20% less productive when working remotely,I’m 20% less productive when working remotely
421,1986,35,Female,Between 6 and 12 months,Education and Training,Managers - Specialist Managers,More than 200,Couple with dependent children,Metro,70%,80%,60%,100% - All of my time,80%,Yes,Yes,80%,100% - All of my time,Unsure,,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat Positive,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Somewhat Positive,They are about the same,Neither unlikely or likely,Somewhat likely,Neither unlikely or likely,2,7,3,4,8,1,9,2,4,8,No,,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat improved,Somewhat worsened,Stayed about the same,Stayed about the same,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat improved,Stayed about the same,Stayed about the same,Stayed about the same,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Yes,Yes,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,I’m 40% more productive when working remotely,I’m 40% more productive when working remotely
423,1980,41,Male,More than 5 years,Other Services,"Managers - Chief Executives, General Managers and Legislators",More than 200,Couple with dependent children,Metro,100% - I spent all of my time remote working,30%,30%,20%,20%,Yes,Yes,30%,20%,Yes,30%,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly Positive,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly Positive,My direct manger(s),Very likely,Somewhat likely,Very likely,2,8,3,3,8,2,8,3,3,8,No,,Significantly improved,Somewhat improved,Significantly improved,Somewhat improved,Significantly improved,Somewhat improved,Significantly improved,Somewhat improved,Somewhat improved,Somewhat improved,Significantly improved,Significantly improved,Significantly improved,Somewhat improved,Significantly improved,Somewhat improved,Strongly agree,Somewhat agree,Strongly agree,Yes,Yes,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,I’m 50% more productive when working remotely (or more),I’m 50% more productive when working remotely (or more)
426,1970,51,Female,Between 1 and 5 years,Other Services,Professionals - Health Professionals,Between 5 and 19,Single person,Metro,80%,60%,50% - I spent about half of my time remote working,60%,60%,Yes,Yes,20%,20%,Yes,20%,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat Positive,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Strongly Positive,They are about the same,Neither unlikely or likely,Somewhat likely,Somewhat likely,1.5,7,3.5,4,8,0.5,7,4,4,8.5,No,,Somewhat improved,Stayed about the same,Stayed about the same,Somewhat improved,Somewhat improved,Stayed about the same,Somewhat improved,Stayed about the same,Stayed about the same,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat improved,Stayed about the same,Somewhat improved,Somewhat improved,Somewhat agree,Somewhat agree,Somewhat agree,Yes,Yes,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,I’m 10% more productive when working remotely,I’m 10% more productive when working remotely
429,1999,22,Female,Between 6 and 12 months,Wholesale Trade,Machinery operators and drivers - Mobile Plant Operators,More than 200,One parent family with dependent children,Metro,70%,20%,20%,60%,20%,Yes,Yes,30%,60%,Yes,30%,Strongly disagree,Neither agree nor disagree,Strongly agree,Somewhat disagree,Neither positive nor negative,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat Positive,Senior leadership,Somewhat likely,Neither unlikely or likely,Somewhat unlikely,3,10,5,3,3,3,6,3,5,7,Yes,0.55,Stayed about the same,Significantly worsened,Stayed about the same,Somewhat worsened,Significantly worsened,Somewhat improved,Significantly worsened,Stayed about the same,Stayed about the same,Somewhat worsened,Somewhat worsened,Stayed about the same,Significantly worsened,Stayed about the same,Stayed about the same,Somewhat improved,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Yes,Yes,Neither agree nor disagree,Strongly disagree,Strongly agree,Somewhat disagree,Strongly agree,Neither agree nor disagree,Somewhat disagree,Strongly agree,Strongly agree,I’m 10% more productive when working remotely,I’m 10% more productive when working remotely
